epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.828125,0.5139743089675903,,
0,99,0.953125,0.20544156432151794,,
0,149,0.9375,0.2690107822418213,,
0,199,0.890625,0.32678917050361633,,
0,249,0.9375,0.13599362969398499,,
0,299,0.953125,0.08954086899757385,,
0,349,0.953125,0.09442263096570969,,
0,399,1.0,0.04529871046543121,,
0,449,0.96875,0.14259523153305054,,
0,499,0.96875,0.1475413739681244,,
0,549,0.953125,0.11191274225711823,,
0,599,1.0,0.05684467777609825,,
0,649,0.96875,0.09686563163995743,,
0,699,0.96875,0.07113587111234665,,
0,749,0.96875,0.039366379380226135,,
0,799,0.984375,0.05234154686331749,,
0,849,0.96875,0.132623091340065,,
0,899,0.96875,0.058256570249795914,,
0,936,,,0.9838742017745972,0.04969305917620659
1,949,0.96875,0.09851764887571335,,
1,999,1.0,0.020262448117136955,,
1,1049,0.96875,0.0731583684682846,,
1,1099,0.984375,0.06489367038011551,,
1,1149,0.953125,0.07880978286266327,,
1,1199,0.984375,0.05976517125964165,,
1,1249,1.0,0.006787266116589308,,
1,1299,1.0,0.030473213642835617,,
1,1349,1.0,0.003020449075847864,,
1,1399,0.984375,0.03671625256538391,,
1,1449,0.984375,0.06387132406234741,,
1,1499,1.0,0.006749478634446859,,
1,1549,1.0,0.009736401960253716,,
1,1599,0.984375,0.04314076155424118,,
1,1649,1.0,0.009807740338146687,,
1,1699,1.0,0.011871227994561195,,
1,1749,1.0,0.011687631718814373,,
1,1799,1.0,0.009366871789097786,,
1,1849,0.984375,0.02393186464905739,,
1,1873,,,0.9902844429016113,0.029658984392881393
2,1899,1.0,0.020589973777532578,,
2,1949,0.984375,0.03338706120848656,,
2,1999,1.0,0.006338585168123245,,
2,2049,0.984375,0.046057239174842834,,
2,2099,0.984375,0.050101857632398605,,
2,2149,0.984375,0.09077607840299606,,
2,2199,0.984375,0.025777338072657585,,
2,2249,1.0,0.002954844618216157,,
2,2299,0.984375,0.061465658247470856,,
2,2349,0.984375,0.037452153861522675,,
2,2399,0.984375,0.014140837825834751,,
2,2449,0.96875,0.08934134244918823,,
2,2499,0.984375,0.06006944552063942,,
2,2549,0.984375,0.03439038619399071,,
2,2599,1.0,0.0035289707593619823,,
2,2649,1.0,0.005013581831008196,,
2,2699,0.984375,0.03412194922566414,,
2,2749,1.0,0.008905277587473392,,
2,2799,1.0,0.0036840939428657293,,
2,2810,,,0.9913862347602844,0.026153564453125
3,2849,1.0,0.011746149510145187,,
3,2899,0.984375,0.06778055429458618,,
3,2949,0.96875,0.08395048975944519,,
3,2999,0.96875,0.039921313524246216,,
3,3049,1.0,0.0030078610870987177,,
3,3099,0.984375,0.02547365613281727,,
3,3149,1.0,0.009388362057507038,,
3,3199,0.984375,0.06373592466115952,,
3,3249,1.0,0.0008493309724144638,,
3,3299,1.0,0.015396751463413239,,
3,3349,1.0,0.0020331686828285456,,
3,3399,0.984375,0.04331301525235176,,
3,3449,0.984375,0.056552253663539886,,
3,3499,1.0,0.008417482487857342,,
3,3549,0.984375,0.02263355255126953,,
3,3599,0.984375,0.1016794741153717,,
3,3649,1.0,0.0006716364878229797,,
3,3699,0.984375,0.02353602834045887,,
3,3747,,,0.9897836446762085,0.031107407063245773
4,3749,1.0,0.007765482179820538,,
4,3799,1.0,0.001135658472776413,,
4,3849,1.0,0.010664835572242737,,
4,3899,1.0,0.009719958528876305,,
4,3949,1.0,0.0029767996165901423,,
4,3999,1.0,0.0009015400428324938,,
4,4049,1.0,0.003877828363329172,,
4,4099,0.96875,0.07758636772632599,,
4,4149,1.0,0.0013646367006003857,,
4,4199,1.0,0.01213611476123333,,
4,4249,1.0,0.008671714924275875,,
4,4299,1.0,0.0013215468497946858,,
4,4349,0.984375,0.023655343800783157,,
4,4399,0.984375,0.10556532442569733,,
4,4449,0.96875,0.07997272908687592,,
4,4499,0.984375,0.11027819663286209,,
4,4549,1.0,0.005461115390062332,,
4,4599,1.0,0.0019254926592111588,,
4,4649,0.984375,0.029053935781121254,,
4,4684,,,0.9921875,0.02412985824048519
