epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.65625,1.615215539932251,,
0,99,0.796875,1.0905898809432983,,
0,149,0.8125,0.7771621942520142,,
0,199,0.78125,0.6206726431846619,,
0,249,0.796875,0.6539785861968994,,
0,299,0.90625,0.450000524520874,,
0,349,0.78125,0.6527105569839478,,
0,399,0.828125,0.5219039916992188,,
0,449,0.921875,0.3917122483253479,,
0,499,0.859375,0.39690330624580383,,
0,549,0.875,0.3964686691761017,,
0,599,0.953125,0.2117176502943039,,
0,649,0.890625,0.3877638876438141,,
0,699,0.875,0.4877653419971466,,
0,749,0.890625,0.4430549740791321,,
0,799,0.953125,0.1815115064382553,,
0,849,0.875,0.35184574127197266,,
0,899,0.921875,0.34623029828071594,,
0,936,,,0.9065504670143127,0.32899928092956543
1,949,1.0,0.13516102731227875,,
1,999,0.9375,0.23301668465137482,,
1,1049,0.890625,0.3899843692779541,,
1,1099,0.90625,0.2622995972633362,,
1,1149,0.9375,0.2096143662929535,,
1,1199,0.90625,0.34693869948387146,,
1,1249,0.890625,0.2724858820438385,,
1,1299,0.90625,0.3156571388244629,,
1,1349,0.953125,0.23352916538715363,,
1,1399,0.90625,0.5173146724700928,,
1,1449,0.9375,0.2633509635925293,,
1,1499,0.953125,0.22330449521541595,,
1,1549,0.921875,0.4111976623535156,,
1,1599,0.890625,0.24276459217071533,,
1,1649,0.890625,0.5080610513687134,,
1,1699,0.90625,0.3445121645927429,,
1,1749,0.921875,0.30298465490341187,,
1,1799,0.890625,0.28431567549705505,,
1,1849,0.921875,0.2582826614379883,,
1,1873,,,0.9183694124221802,0.28020355105400085
2,1899,0.875,0.2586055397987366,,
2,1949,0.9375,0.2011144906282425,,
2,1999,0.890625,0.38972437381744385,,
2,2049,0.921875,0.36828193068504333,,
2,2099,0.921875,0.33305782079696655,,
2,2149,0.96875,0.15471450984477997,,
2,2199,0.9375,0.2557341158390045,,
2,2249,0.890625,0.27580052614212036,,
2,2299,0.9375,0.22990792989730835,,
2,2349,0.90625,0.42053651809692383,,
2,2399,0.890625,0.264617383480072,,
2,2449,0.9375,0.17032599449157715,,
2,2499,0.953125,0.147776797413826,,
2,2549,0.953125,0.2652709186077118,,
2,2599,0.9375,0.24910075962543488,,
2,2649,0.921875,0.239413782954216,,
2,2699,0.96875,0.20090600848197937,,
2,2749,0.921875,0.2557705342769623,,
2,2799,0.875,0.4898264706134796,,
2,2810,,,0.9234775900840759,0.25798797607421875
3,2849,0.96875,0.2099379301071167,,
3,2899,0.890625,0.23518896102905273,,
3,2949,0.921875,0.2797175645828247,,
3,2999,0.9375,0.2138502299785614,,
3,3049,0.96875,0.33745771646499634,,
3,3099,0.921875,0.3079371750354767,,
3,3149,0.90625,0.233329176902771,,
3,3199,0.921875,0.23535314202308655,,
3,3249,0.90625,0.28829532861709595,,
3,3299,0.890625,0.27863362431526184,,
3,3349,0.984375,0.10927312076091766,,
3,3399,0.9375,0.157829150557518,,
3,3449,0.90625,0.35763639211654663,,
3,3499,0.96875,0.14269523322582245,,
3,3549,0.953125,0.2740517556667328,,
3,3599,0.921875,0.25009357929229736,,
3,3649,0.921875,0.3360745906829834,,
3,3699,0.9375,0.19090282917022705,,
3,3747,,,0.9380007982254028,0.21404623985290527
4,3749,0.953125,0.16036777198314667,,
4,3799,0.96875,0.17820900678634644,,
4,3849,0.9375,0.3329586386680603,,
4,3899,0.984375,0.07799199968576431,,
4,3949,0.875,0.3628855347633362,,
4,3999,0.9375,0.17495737969875336,,
4,4049,0.984375,0.13905738294124603,,
4,4099,0.921875,0.2432110756635666,,
4,4149,0.921875,0.2064829170703888,,
4,4199,0.96875,0.10819191485643387,,
4,4249,0.921875,0.2717205286026001,,
4,4299,0.875,0.4427092373371124,,
4,4349,0.875,0.3865480422973633,,
4,4399,0.90625,0.3177630603313446,,
4,4449,0.9375,0.24842974543571472,,
4,4499,0.9375,0.26800423860549927,,
4,4549,0.953125,0.15060526132583618,,
4,4599,0.90625,0.3064294159412384,,
4,4649,0.984375,0.07838928699493408,,
4,4684,,,0.9422075152397156,0.1977333277463913
